E0(MeV)  Theta(deg) q2(fm-2) xs(cm2/sr*1e-30) stat_err(cm2/sr*10-30) (A+B*tan) A(q2)
80.1  30  0.044 156.38 0.25   0.9360 0.9358
80.1  70  0.211 3.635  0.011  0.7459 0.7450
80.1  75  0.237 2.583  0.008  0.7213 0.7201
80.1  80  0.263 1.876  0.006  0.6993 0.6979
80.1  85  0.290 1.376  0.005  0.6781 0.6762
80.1  90  0.316 1.014  0.004  0.6535 0.6519
80.1  100 0.368 0.565  0.002  0.6116 0.6080
80.1  110 0.418 0.326  0.001  0.5841 0.5784
80.1  120 0.465 0.187  0.0006 0.5552 0.5464
80.1  130 0.506 0.1072 0.0002 0.5362 0
80.1  135 0.524 0.0802 0.0002 0.5298 0
149.4 40  0.263 10.330 0.042  0.6999 0.6996
149.4 45  0.328 5.796  0.030  0.6416 0.6412
149.4 50  0.398 3.447  0.016  0.5923 0.5917
149.4 55  0.473 2.110  0.011  0.5426 0.5418
149.4 60  0.551 1.331  0.009  0.4967 0.4957
149.4 65  0.633 0.8609 0.0041 0.4543 0.4530
149.4 70  0.717 0.5675 0.0035 0.4149 0.4132
149.8 40  0.265 10.22  0.18   0.6984 0.6981
149.8 45  0.330 5.760  0.037  0.6414 0.6410
149.8 50  0.401 3.458  0.022  0.5982 0.5975
149.8 55  0.476 2.077  0.017  0.5375 0.5366
149.8 60  0.555 1.345  0.022  0.5046 0.5034
149.8 90  1.068 0.1235 0.0011 0.2887 0.2841
149.8 120 1.55  0.0191 0.0002 0.2086 0  
160.2 53  0.507 2.064  0.015  0.5227 0.5220
160.2 157 2.18  0.00142 0.00002 0.1901 0
199.5 28  0.236 25.36  0.08   0.7170 0.7169
199.5 30  0.270 18.45  0.08   0.6908 0.6907
199.5 35  0.363 8.89   0.06   0.6253 0.6251
199.5 40  0.467 4.484  0.031  0.5456 0.5447
199.5 45  0.581 2.388  0.017  0.4749 0.4743
199.5 50  0.703 1.362  0.004  0.4214 0.4205
199.5 60  0.970 0.478  0.0018 0.3219 0.3197
222.5 70  1.55  0.1157 0.0014 0.1922 0
222.5 85  2.09  0.0311 0.0005 0.1259 0
222.5 125 3.37  0.0180 0.0002 0.0592 0
222.5 157 3.98 0.00296 0.00005 0.0806 0
278.4 53  1.50  0.257  0.003  0.2014 0
278.4 65  2.12  0.0646 0.0011 0.1230 0  
278.4 90  3.47  0.0485 0.0009 0.0512 0 
278.4 100 3.98  0.0251 0.0005 0.0368 0
298.9 30  0.602 5.57   0.08   0.4713 0.4711 
298.9 40  1.035 1.057  0.014  0.2927 0.2922
298.9 50  1.55  0.270  0.008  0.1909 0
298.9 55  1.83  0.1363 0.015  0.1449 0 
298.9 60  2.12  0.0803 0.0006 0.1244 0
298.9 80  3.36  0.00940 0.00017 0.0534 0 
298.9 90  3.96  0.00384 0.00005 0.0384 0
